# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 23 15:27:34 2023
#
# COLUMN kepid:          KepID
# COLUMN koi_name:       KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN pl_name:        Confirmed Name
#
kepid,koi_name,kepler_name,pl_name
10617017,K02149.01,Kepler-1121 b,Kepler-1121 b
9641481,K02152.01,Kepler-1122 b,Kepler-1122 b
12116380,K02155.01,Kepler-1123 b,Kepler-1123 b
2556650,K02156.01,Kepler-1124 b,Kepler-1124 b
5546761,K02160.01,Kepler-1125 b,Kepler-1125 b
9205938,K02162.01,Kepler-1126 b,Kepler-1126 b
9205938,K02162.02,Kepler-1126 c,Kepler-1126 c
7204981,K02164.01,Kepler-1127 b,Kepler-1127 b
4370527,K02166.01,Kepler-1128 b,Kepler-1128 b
6041734,K02167.01,Kepler-1129 b,Kepler-1129 b
6041734,K02167.03,Kepler-1129 c,Kepler-1129 c
12252424,K00153.02,Kepler-113 b,Kepler-113 b
12252424,K00153.01,Kepler-113 c,Kepler-113 c
9006186,K02169.01,Kepler-1130 b,Kepler-1130 b
9006186,K02169.02,Kepler-1130 c,Kepler-1130 c
9006186,K02169.03,Kepler-1130 d,Kepler-1130 d
11410904,K02171.01,Kepler-1131 b,Kepler-1131 b
10965588,K02177.01,Kepler-1132 b,Kepler-1132 b
7286911,K02180.01,Kepler-1133 b,Kepler-1133 b
6962109,K02182.01,Kepler-1134 b,Kepler-1134 b
8611781,K02185.01,Kepler-1135 b,Kepler-1135 b
8282651,K02193.01,Kepler-1136 b,Kepler-1136 b
11075429,K02198.01,Kepler-1137 b,Kepler-1137 b
10909127,K02200.01,Kepler-1138 b,Kepler-1138 b
4144576,K02202.01,Kepler-1139 b,Kepler-1139 b
10925104,K00156.02,Kepler-114 b,Kepler-114 b
10925104,K00156.01,Kepler-114 c,Kepler-114 c
10925104,K00156.03,Kepler-114 d,Kepler-114 d
9992325,K02205.01,Kepler-1140 b,Kepler-1140 b
10531955,K02208.01,Kepler-1141 b,Kepler-1141 b
8168187,K02209.01,Kepler-1142 b,Kepler-1142 b
4142847,K02210.01,Kepler-1143 b,Kepler-1143 b
4142847,K02210.02,Kepler-1143 c,Kepler-1143 c
10203349,K02212.01,Kepler-1144 b,Kepler-1144 b
7457296,K02213.01,Kepler-1145 b,Kepler-1145 b
10328458,K02214.01,Kepler-1146 b,Kepler-1146 b
6287313,K02221.01,Kepler-1147 b,Kepler-1147 b
9278725,K02223.01,Kepler-1148 b,Kepler-1148 b
8892157,K02224.01,Kepler-1149 b,Kepler-1149 b
8972058,K00159.02,Kepler-115 b,Kepler-115 b
8972058,K00159.01,Kepler-115 c,Kepler-115 c
11569782,K02225.01,Kepler-1150 b,Kepler-1150 b
10600955,K02227.01,Kepler-1151 b,Kepler-1151 b
8229458,K02238.01,Kepler-1152 b,Kepler-1152 b
9336200,K02242.01,Kepler-1153 b,Kepler-1153 b
4770617,K02243.01,Kepler-1154 b,Kepler-1154 b
4770617,K02243.02,Kepler-1154 c,Kepler-1154 c
4454934,K02245.01,Kepler-1155 b,Kepler-1155 b
9458343,K02246.01,Kepler-1156 b,Kepler-1156 b
7802719,K02247.01,Kepler-1157 b,Kepler-1157 b
6206214,K02252.01,Kepler-1158 b,Kepler-1158 b
8959839,K02253.01,Kepler-1159 b,Kepler-1159 b
7831264,K00171.01,Kepler-116 b,Kepler-116 b
7831264,K00171.02,Kepler-116 c,Kepler-116 c
7672097,K02255.01,Kepler-1160 b,Kepler-1160 b
9112931,K02256.01,Kepler-1161 b,Kepler-1161 b
9071593,K02257.01,Kepler-1162 b,Kepler-1162 b
9071593,K02257.02,Kepler-1162 c,Kepler-1162 c
11811193,K02260.01,Kepler-1163 b,Kepler-1163 b
3734418,K02261.01,Kepler-1164 b,Kepler-1164 b
8613535,K02263.02,Kepler-1165 b,Kepler-1165 b
8613535,K02263.01,Kepler-1165 c,Kepler-1165 c
12256520,K02264.01,Kepler-1166 b,Kepler-1166 b
10489345,K02266.01,Kepler-1167 b,Kepler-1167 b
10329469,K02271.01,Kepler-1168 b,Kepler-1168 b
9717943,K02273.01,Kepler-1169 b,Kepler-1169 b
10723750,K00209.02,Kepler-117 b,Kepler-117 b
10723750,K00209.01,Kepler-117 c,Kepler-117 c
7960980,K02274.01,Kepler-1170 b,Kepler-1170 b
3458028,K02276.01,Kepler-1171 b,Kepler-1171 b
2439243,K02280.01,Kepler-1172 b,Kepler-1172 b
9221517,K02281.01,Kepler-1173 b,Kepler-1173 b
6751874,K02282.01,Kepler-1174 b,Kepler-1174 b
9945370,K02285.01,Kepler-1175 b,Kepler-1175 b
8973129,K02286.01,Kepler-1176 b,Kepler-1176 b
11498128,K02296.01,Kepler-1177 b,Kepler-1177 b
9334893,K02298.02,Kepler-1178 b,Kepler-1178 b
10583761,K02300.01,Kepler-1179 b,Kepler-1179 b
6152974,K00216.02,Kepler-118 b,Kepler-118 b
6152974,K00216.01,Kepler-118 c,Kepler-118 c
7542813,K02302.01,Kepler-1180 b,Kepler-1180 b
4458082,K02303.01,Kepler-1181 b,Kepler-1181 b
4458082,K02303.02,Kepler-1181 c,Kepler-1181 c
8042453,K02304.01,Kepler-1182 b,Kepler-1182 b
3749978,K02308.01,Kepler-1183 b,Kepler-1183 b
10010440,K02309.01,Kepler-1184 b,Kepler-1184 b
4247991,K02311.03,Kepler-1185 b,Kepler-1185 b
10132832,K02313.01,Kepler-1186 b,Kepler-1186 b
3219995,K02314.01,Kepler-1187 b,Kepler-1187 b
7504778,K02316.01,Kepler-1188 b,Kepler-1188 b
10684670,K02317.01,Kepler-1189 b,Kepler-1189 b
7132798,K00220.01,Kepler-119 b,Kepler-119 b
7132798,K00220.02,Kepler-119 c,Kepler-119 c
11495458,K02318.01,Kepler-1190 b,Kepler-1190 b
10730703,K02327.01,Kepler-1191 b,Kepler-1191 b
8007644,K02328.01,Kepler-1192 b,Kepler-1192 b
12401863,K02331.01,Kepler-1193 b,Kepler-1193 b
2990873,K02335.01,Kepler-1194 b,Kepler-1194 b
5599774,K02337.01,Kepler-1195 b,Kepler-1195 b
8099138,K02338.01,Kepler-1196 b,Kepler-1196 b
7033233,K02339.01,Kepler-1197 b,Kepler-1197 b
8681734,K02340.01,Kepler-1198 b,Kepler-1198 b
10212441,K02342.01,Kepler-1199 b,Kepler-1199 b
11804465,K00020.01,Kepler-12 b,Kepler-12 b
4249725,K00222.01,Kepler-120 b,Kepler-120 b
4249725,K00222.02,Kepler-120 c,Kepler-120 c
8247771,K02344.01,Kepler-1200 b,Kepler-1200 b
5629538,K02345.01,Kepler-1201 b,Kepler-1201 b
8561231,K02346.01,Kepler-1202 b,Kepler-1202 b
8235924,K02347.01,Kepler-1203 b,Kepler-1203 b
6941084,K02348.01,Kepler-1204 b,Kepler-1204 b
6200235,K02350.01,Kepler-1205 b,Kepler-1205 b
11670125,K02355.01,Kepler-1206 b,Kepler-1206 b
11461844,K02356.01,Kepler-1207 b,Kepler-1207 b
8495415,K02362.02,Kepler-1208 b,Kepler-1208 b
11342416,K02366.01,Kepler-1209 b,Kepler-1209 b
4545187,K00223.01,Kepler-121 b,Kepler-121 b
4545187,K00223.02,Kepler-121 c,Kepler-121 c
10863608,K02368.01,Kepler-1210 b,Kepler-1210 b
5602588,K02369.01,Kepler-1211 b,Kepler-1211 b
11824786,K02371.01,Kepler-1212 b,Kepler-1212 b
12254909,K02372.01,Kepler-1213 b,Kepler-1213 b
11701407,K02376.01,Kepler-1214 b,Kepler-1214 b
10813132,K02378.01,Kepler-1215 b,Kepler-1215 b
9395024,K02383.01,Kepler-1216 b,Kepler-1216 b
12254378,K02387.01,Kepler-1217 b,Kepler-1217 b
8494617,K02389.01,Kepler-1218 b,Kepler-1218 b
10289119,K02390.01,Kepler-1219 b,Kepler-1219 b
4833421,K00232.02,Kepler-122 b,Kepler-122 b
4833421,K00232.01,Kepler-122 c,Kepler-122 c
4833421,K00232.03,Kepler-122 d,Kepler-122 d
4833421,K00232.04,Kepler-122 e,Kepler-122 e
4833421,K00232.05,Kepler-122 f,Kepler-122 f
7382313,K02392.01,Kepler-1220 b,Kepler-1220 b
9269042,K02397.01,Kepler-1221 b,Kepler-1221 b
11461433,K02399.01,Kepler-1222 b,Kepler-1222 b
8481129,K02402.01,Kepler-1223 b,Kepler-1223 b
2142522,K02403.01,Kepler-1224 b,Kepler-1224 b
5007345,K02406.01,Kepler-1225 b,Kepler-1225 b
12120484,K02407.01,Kepler-1226 b,Kepler-1226 b
6429812,K02408.01,Kepler-1227 b,Kepler-1227 b
10024051,K02409.01,Kepler-1228 b,Kepler-1228 b
10027247,K02418.01,Kepler-1229 b,Kepler-1229 b
7219825,K00238.01,Kepler-123 b,Kepler-123 b
7219825,K00238.02,Kepler-123 c,Kepler-123 c
6343170,K02419.01,Kepler-1230 b,Kepler-1230 b
7107802,K02420.01,Kepler-1231 b,Kepler-1231 b
11360805,K02422.01,Kepler-1232 b,Kepler-1232 b
9845898,K02423.01,Kepler-1233 b,Kepler-1233 b
12453581,K02424.01,Kepler-1234 b,Kepler-1234 b
8081899,K02426.01,Kepler-1235 b,Kepler-1235 b
7047363,K02432.01,Kepler-1236 b,Kepler-1236 b
8570333,K02436.01,Kepler-1237 b,Kepler-1237 b
5036705,K02437.01,Kepler-1238 b,Kepler-1238 b
6867555,K02439.01,Kepler-1239 b,Kepler-1239 b
11288051,K00241.03,Kepler-124 b,Kepler-124 b
11288051,K00241.01,Kepler-124 c,Kepler-124 c
11288051,K00241.02,Kepler-124 d,Kepler-124 d
5339567,K02440.01,Kepler-1240 b,Kepler-1240 b
3354846,K02444.01,Kepler-1241 b,Kepler-1241 b
5857540,K02448.01,Kepler-1242 b,Kepler-1242 b
7289317,K02450.01,Kepler-1243 b,Kepler-1243 b
9753154,K02457.01,Kepler-1244 b,Kepler-1244 b
7604328,K02458.01,Kepler-1245 b,Kepler-1245 b
7604328,K02458.02,Kepler-1245 c,Kepler-1245 c
11236244,K02460.01,Kepler-1246 b,Kepler-1246 b
9837685,K02461.01,Kepler-1247 b,Kepler-1247 b
12454461,K02463.01,Kepler-1248 b,Kepler-1248 b
8380709,K02468.01,Kepler-1249 b,Kepler-1249 b
10489206,K00251.01,Kepler-125 b,Kepler-125 b
10489206,K00251.02,Kepler-125 c,Kepler-125 c
9395719,K02472.01,Kepler-1250 b,Kepler-1250 b
11403389,K02482.01,Kepler-1251 b,Kepler-1251 b
9851662,K02483.01,Kepler-1252 b,Kepler-1252 b
10453588,K02484.01,Kepler-1253 b,Kepler-1253 b
11125613,K02485.01,Kepler-1254 b,Kepler-1254 b
11125613,K02485.02,Kepler-1254 c,Kepler-1254 c
11125613,K02485.03,Kepler-1254 d,Kepler-1254 d
7212184,K02487.01,Kepler-1255 b,Kepler-1255 b
8559152,K02488.01,Kepler-1256 b,Kepler-1256 b
9229657,K02491.01,Kepler-1257 b,Kepler-1257 b
11752632,K02492.01,Kepler-1258 b,Kepler-1258 b
10028535,K02493.01,Kepler-1259 b,Kepler-1259 b
8292840,K00260.01,Kepler-126 b,Kepler-126 b
8292840,K00260.03,Kepler-126 c,Kepler-126 c
8292840,K00260.02,Kepler-126 d,Kepler-126 d
7047207,K02494.01,Kepler-1260 b,Kepler-1260 b
11179076,K02497.01,Kepler-1261 b,Kepler-1261 b
6767840,K02506.01,Kepler-1262 b,Kepler-1262 b
9880190,K02509.01,Kepler-1263 b,Kepler-1263 b
8947520,K02517.01,Kepler-1264 b,Kepler-1264 b
10059645,K02520.01,Kepler-1265 b,Kepler-1265 b
7183745,K02521.01,Kepler-1266 b,Kepler-1266 b
7183745,K02521.02,Kepler-1266 c,Kepler-1266 c
7778767,K02523.01,Kepler-1267 b,Kepler-1267 b
7515762,K02524.01,Kepler-1268 b,Kepler-1268 b
9011825,K02530.01,Kepler-1269 b,Kepler-1269 b
9451706,K00271.03,Kepler-127 b,Kepler-127 b
9451706,K00271.02,Kepler-127 c,Kepler-127 c
9451706,K00271.01,Kepler-127 d,Kepler-127 d
11074835,K02533.01,Kepler-1270 b,Kepler-1270 b
1996180,K02534.01,Kepler-1271 b,Kepler-1271 b
3728701,K02536.01,Kepler-1272 b,Kepler-1272 b
8676148,K02544.01,Kepler-1273 b,Kepler-1273 b
9696358,K02545.01,Kepler-1274 b,Kepler-1274 b
8757824,K02552.01,Kepler-1275 b,Kepler-1275 b
5350244,K02555.01,Kepler-1276 b,Kepler-1276 b
5374403,K02556.01,Kepler-1277 b,Kepler-1277 b
7259298,K02561.01,Kepler-1278 b,Kepler-1278 b
5175024,K02563.01,Kepler-1279 b,Kepler-1279 b
8077137,K00274.01,Kepler-128 b,Kepler-128 b
8077137,K00274.02,Kepler-128 c,Kepler-128 c
9026749,K02564.01,Kepler-1280 b,Kepler-1280 b
11037511,K02580.01,Kepler-1281 b,Kepler-1281 b
9827149,K02586.01,Kepler-1282 b,Kepler-1282 b
5546691,K02587.01,Kepler-1283 b,Kepler-1283 b
10468885,K02589.01,Kepler-1284 b,Kepler-1284 b
8212002,K02593.01,Kepler-1285 b,Kepler-1285 b
8004903,K02594.01,Kepler-1286 b,Kepler-1286 b
10068659,K02602.01,Kepler-1287 b,Kepler-1287 b
6269070,K02608.01,Kepler-1288 b,Kepler-1288 b
5807769,K02614.01,Kepler-1289 b,Kepler-1289 b
10586004,K00275.01,Kepler-129 b,Kepler-129 b
10586004,K00275.02,Kepler-129 c,Kepler-129 c
10586004,,Kepler-129 d,Kepler-129 d
8025596,K02615.01,Kepler-1290 b,Kepler-1290 b
4915638,K02617.01,Kepler-1291 b,Kepler-1291 b
8081905,K02619.01,Kepler-1292 b,Kepler-1292 b
10916600,K02623.01,Kepler-1293 b,Kepler-1293 b
8429314,K02624.01,Kepler-1294 b,Kepler-1294 b
9153570,K02625.01,Kepler-1295 b,Kepler-1295 b
6124512,K02627.01,Kepler-1296 b,Kepler-1296 b
10070468,K02628.01,Kepler-1297 b,Kepler-1297 b
11337566,K02632.01,Kepler-1298 b,Kepler-1298 b
1995519,K02634.01,Kepler-1299 b,Kepler-1299 b
9941662,K00013.01,Kepler-13 b,KOI-13 b
5088536,K00282.02,Kepler-130 b,Kepler-130 b
5088536,K00282.01,Kepler-130 c,Kepler-130 c
5088536,K00282.03,Kepler-130 d,Kepler-130 d
4914566,K02635.01,Kepler-1300 b,Kepler-1300 b
6933567,K02643.01,Kepler-1301 b,Kepler-1301 b
11962284,K02647.01,Kepler-1302 b,Kepler-1302 b
6842682,K02649.01,Kepler-1303 b,Kepler-1303 b
4346178,K02652.01,Kepler-1304 b,Kepler-1304 b
9664142,K02654.01,Kepler-1305 b,Kepler-1305 b
10018233,K02655.01,Kepler-1306 b,Kepler-1306 b
9893318,K02660.01,Kepler-1307 b,Kepler-1307 b
3426367,K02662.01,Kepler-1308 b,Kepler-1308 b
5562090,K02664.01,Kepler-1309 b,Kepler-1309 b
5695396,K00283.01,Kepler-131 b,Kepler-131 b
5695396,K00283.02,Kepler-131 c,Kepler-131 c
5513012,K02668.01,Kepler-1310 b,Kepler-1310 b
8022489,K02674.02,Kepler-1311 b,Kepler-1311 b
8022489,K02674.03,Kepler-1311 c,Kepler-1311 c
8022489,K02674.01,Kepler-1311 d,Kepler-1311 d
5794570,K02675.01,Kepler-1312 b,Kepler-1312 b
5794570,K02675.02,Kepler-1312 c,Kepler-1312 c
6779260,K02678.01,Kepler-1313 b,Kepler-1313 b
8892303,K02688.01,Kepler-1314 b,Kepler-1314 b
9475552,K02694.01,Kepler-1315 b,Kepler-1315 b
9475552,K02694.02,Kepler-1315 c,Kepler-1315 c
5128673,K02698.01,Kepler-1316 b,Kepler-1316 b
6690836,K02699.01,Kepler-1317 b,Kepler-1317 b
5871985,K02703.01,Kepler-1318 b,Kepler-1318 b
11453592,K02705.01,Kepler-1319 b,Kepler-1319 b
6021275,K00284.03,Kepler-132 b,Kepler-132 b
6021275,K00284.02,Kepler-132 c,Kepler-132 c
6021275,K00284.01,Kepler-132 d,Kepler-132 d
6021275,K00284.04,Kepler-132 e,Kepler-132 e
5175986,K02708.01,Kepler-1320 b,Kepler-1320 b
9837661,K02715.01,Kepler-1321 b,Kepler-1321 b
9837661,K02715.02,Kepler-1321 c,Kepler-1321 c
9837661,K02715.03,Kepler-1321 d,Kepler-1321 d
9092504,K02716.01,Kepler-1322 b,Kepler-1322 b
9092504,K02716.02,Kepler-1322 c,Kepler-1322 c
9467404,K02717.01,Kepler-1323 b,Kepler-1323 b
5184911,K02719.01,Kepler-1324 b,Kepler-1324 b
6587105,K02721.01,Kepler-1325 b,Kepler-1325 b
4178606,K02728.01,Kepler-1326 b,Kepler-1326 b
12008872,K02729.01,Kepler-1327 b,Kepler-1327 b
8415200,K02730.01,Kepler-1328 b,Kepler-1328 b
10842192,K02736.01,Kepler-1329 b,Kepler-1329 b
10933561,K00291.02,Kepler-133 b,Kepler-133 b
10933561,K00291.01,Kepler-133 c,Kepler-133 c
4831728,K02739.01,Kepler-1330 b,Kepler-1330 b
5980208,K02742.01,Kepler-1331 b,Kepler-1331 b
8095441,K02743.01,Kepler-1332 b,Kepler-1332 b
5881813,K02744.01,Kepler-1333 b,Kepler-1333 b
12456601,K02745.01,Kepler-1334 b,Kepler-1334 b
6586746,K02747.01,Kepler-1335 b,Kepler-1335 b
9962455,K02748.01,Kepler-1336 b,Kepler-1336 b
9962455,K02748.02,Kepler-1336 c,Kepler-1336 c
9881077,K02751.01,Kepler-1337 b,Kepler-1337 b
6265792,K02753.01,Kepler-1338 b,Kepler-1338 b
10905911,K02754.01,Kepler-1339 b,Kepler-1339 b
11547513,K00295.01,Kepler-134 b,Kepler-134 b
11547513,K00295.02,Kepler-134 c,Kepler-134 c
6964929,K02756.01,Kepler-1340 b,Kepler-1340 b
8210018,K02762.01,Kepler-1341 b,Kepler-1341 b
7769819,K02778.01,Kepler-1342 b,Kepler-1342 b
12164564,K02780.01,Kepler-1343 b,Kepler-1343 b
10001368,K02785.01,Kepler-1344 b,Kepler-1344 b
9466429,K02786.01,Kepler-1345 b,Kepler-1345 b
8885643,K02789.01,Kepler-1346 b,Kepler-1346 b
5652893,K02790.01,Kepler-1347 b,Kepler-1347 b
11662184,K02791.01,Kepler-1348 b,Kepler-1348 b
11127479,K02792.01,Kepler-1349 b,Kepler-1349 b
3642289,K00301.01,Kepler-135 b,Kepler-135 b
3642289,K00301.02,Kepler-135 c,Kepler-135 c
9823519,K02793.01,Kepler-1350 b,Kepler-1350 b
9823519,K02793.02,Kepler-1350 c,Kepler-1350 c
6697756,K02798.01,Kepler-1351 b,Kepler-1351 b
11135308,K02805.01,Kepler-1352 b,Kepler-1352 b
7047824,K02806.01,Kepler-1353 b,Kepler-1353 b
2442448,K02812.01,Kepler-1354 b,Kepler-1354 b
11283615,K02816.01,Kepler-1355 b,Kepler-1355 b
7605093,K02817.01,Kepler-1356 b,Kepler-1356 b
11963206,K02820.01,Kepler-1357 b,Kepler-1357 b
7428736,K02827.01,Kepler-1358 b,Kepler-1358 b
6436029,K02828.01,Kepler-1359 b,Kepler-1359 b
7050989,K00312.01,Kepler-136 b,Kepler-136 b
7050989,K00312.02,Kepler-136 c,Kepler-136 c
9244508,K02830.01,Kepler-1360 b,Kepler-1360 b
9995402,K02832.01,Kepler-1361 b,Kepler-1361 b
5609593,K02834.01,Kepler-1362 b,Kepler-1362 b
11414465,K02836.01,Kepler-1363 b,Kepler-1363 b
11565924,K02837.01,Kepler-1364 b,Kepler-1364 b
6607357,K02838.01,Kepler-1365 b,Kepler-1365 b
6607357,K02838.02,Kepler-1365 c,Kepler-1365 c
6186964,K02839.01,Kepler-1366 b,Kepler-1366 b
10591855,K02845.01,Kepler-1367 b,Kepler-1367 b
6294819,K02852.01,Kepler-1368 b,Kepler-1368 b
5688910,K02856.01,Kepler-1369 b,Kepler-1369 b
7419318,K00313.02,Kepler-137 b,Kepler-137 b
7419318,K00313.01,Kepler-137 c,Kepler-137 c
6345732,K02857.01,Kepler-1370 b,Kepler-1370 b
6345732,K02857.02,Kepler-1370 c,Kepler-1370 c
10397751,K02859.01,Kepler-1371 b,Kepler-1371 b
10397751,K02859.02,Kepler-1371 c,Kepler-1371 c
